Division,District,Upazila,Area (km²),Population,Pop. Density (/km²),Urban Pop. %,Main Economic Activity,Literacy Rate (%),Primary Schools,Secondary Schools,Colleges/Univ.,Madrasas,Net Enrolment Rate (%),District Hospitals,Upazila Health Complexes,Community Clinics,Registered Doctors,Nurses/Midwives,Immunisation Coverage (%),MMR (per 100k live births),Paved Road (% of total),Total Road Length (km),Electricity Access (%),Internet Penetration (%),Mobile Coverage (%),Bank Branches,Weekly Markets (Haats),Cultivable Land (%),Irrigated Land (%),Rice,Jute,Wheat,Vegetables,Fisheries,Tea,Agri Households (%),Safe Water Access (%),Improved Sanitation (%),Arsenic Risk Level,Surface Water Dependency,Water Treatment Plants,Open Defecation (%),Flood Risk,Cyclone Risk,Drought Risk,Riverbank Erosion,Climate Vulnerability,Disaster Mgmt (UDMCs),Cyclone Shelters,No. of Unions,Pourashava (Municipality),Pourashava Wards,Parliamentary Constituency,Land Registration Offices,Police Stations/Outposts,Poverty Rate (%),HDI Index,Remittance Dependency,NGO Presence (count),Microfinance Institutions,Food Security Level,Labour Force (est.),Unemployment Rate (%),Agriculture Workers (%),Industry Workers (%),Service Workers (%),RMG Presence,Informal Economy (%),Child Labour (%),Overseas Migration,Sex Ratio (F per 100M),Child Marriage Rate (%),Women's Education (%),Female Labour Force (%),Women in Local Govt (%),Skilled Birth Attendance (%),Girls in School (%),GBV Support Centre,Highway Length (km),Railway Station,River/Launch Port,Ferry Service,Airport/Airstrip,Bus Terminal,Major Bridges,Key River(s),Nearest Seaport,Avg. Household Size,Pucca Housing (%),Semi-Pucca Housing (%),Kutcha Housing (%),Overcrowding (%),TV Ownership (%),Mobile Phone Ownership (%),Primary Cooking Fuel,Avg. Rooms per HH,Muslim (%),Hindu (%),Buddhist (%),Christian & Other (%),Ethnic/Indigenous Groups,Primary Language(s),Smartphone Users (%),Mobile Financial Services (%),E-Commerce Activity,Digital Service Centres,Internet Cafes,Online Banking Users (%),Registered Freelancers,4G Coverage,MFS Agent Points
Barisal,Barisal,Barisal Sadar,58.08,612000,10537,85,"Trade, Services, Industry",80.5,248,80,17,45,80.0,7,12,30,146,480,92.1,172,45,109.8,75.7,57.8,82.5,17,39,37.8,50.9,Yes,Some,Some,Yes,Some,No,20.0,83.3,86.3,Low,Yes,3,6.3,Very High,Very High,Low,High,Very High,Partial,39,4,1,14.0,Constituency 11,1,7,14.0,0.647,Low,52,36,High,303847,4.5,18.2,41.7,40.1,Yes,69.7,4.5,Low,96.3,15.7,76.8,39.5,28.1,90.9,54.6,Yes,14.8,No,Yes,Yes,No,Yes,1,"Kirtankhola, Bishkhali, Meghna",Mongla,3.65,54.5,33.0,12.5,15.5,68.1,88.2,Gas/LPG,3.9,89.5,8.2,0.4,1.8,Bengali,Bengali (Standard),72.1,74.1,High,8,7,37.0,515,Full,138
Barisal,Barisal,Gaurnadi,134.48,188000,1398,22,"Agriculture, Trade",65.4,71,21,4,14,75.5,1,3,8,70,136,90.8,269,49,179.3,65.8,38.3,63.2,7,13,42.8,46.8,Yes,Some,Some,Yes,Some,No,52.8,74.7,67.5,Medium,Yes,0,7.0,Very High,Very High,Low,High,Very High,UDMCs,8,5,0,,Constituency 12,1,2,32.0,0.581,Medium,9,9,Medium,88821,3.1,41.3,20.6,38.1,Some,67.5,9.8,Medium,98.4,40.8,60.6,43.3,38.5,70.4,50.5,Partial,50.8,Yes,Yes,Yes,No,Yes,2,"Kirtankhola, Bishkhali, Meghna",Mongla,4.14,20.5,34.2,45.3,39.7,61.1,84.5,Biomass/Wood,3.7,87.2,8.9,0.3,3.5,Bengali,Bengali (Standard),43.0,53.7,Low,2,4,25.4,17,Partial,35
Barisal,Barisal,Hizla,167.74,135000,805,12,"Fishing, Agriculture",66.3,56,16,3,8,70.2,1,2,6,32,92,82.5,307,50,329.7,57.6,32.9,70.2,4,9,77.3,28.8,Yes,Some,Some,Yes,Yes,No,49.6,74.0,62.0,Low,Yes,0,12.4,Very High,Very High,Low,High,Very High,UDMCs,10,7,0,,Constituency 13,1,2,30.9,0.567,Medium,12,7,Medium,63606,5.9,51.8,12.9,35.3,No,77.4,10.2,Low,105.2,44.9,64.6,31.3,33.0,68.2,49.8,No,32.0,No,Yes,Yes,No,Yes,3,"Kirtankhola, Bishkhali, Meghna",Mongla,4.77,36.7,35.5,27.8,32.0,36.8,71.8,Biomass/Wood,2.8,90.8,6.7,1.0,1.4,Bengali,Bengali (Standard),35.5,55.1,Low,1,0,21.2,10,Limited,39
Barisal,Barisal,Mehendiganj,408.73,310000,759,15,"Agriculture, Fishing",64.0,126,35,8,23,77.2,3,5,16,109,181,78.8,318,30,804.7,65.2,19.8,76.6,9,23,61.6,42.9,Yes,Some,Some,Yes,Yes,No,74.2,41.4,60.5,Medium,Yes,1,10.5,Very High,Very High,Low,High,Very High,Partial,21,16,0,,Constituency 14,2,4,34.5,0.585,Low,29,18,Medium,157896,4.0,51.9,13.7,34.4,No,79.3,7.3,Medium,103.7,37.4,65.9,24.8,35.9,66.9,53.4,No,13.7,Yes,Yes,Yes,No,Partial,6,"Kirtankhola, Bishkhali, Meghna",Mongla,3.87,14.0,43.2,42.8,38.9,59.6,67.4,Biomass/Wood,2.3,92.1,13.4,0.1,0.0,Bengali,Bengali (Standard),28.2,56.7,Low,3,0,9.6,14,Limited,57
Barisal,Barisal,Muladi,204.91,188000,918,16,Agriculture,62.1,86,23,3,10,75.7,2,3,8,75,115,76.6,284,57,472.0,66.5,36.1,87.2,7,13,48.7,73.0,Yes,Some,Some,Yes,Some,No,51.4,72.1,71.6,Low,Yes,0,12.0,Very High,Very High,Low,High,Very High,Partial,10,8,0,,Constituency 15,1,2,30.1,0.571,Medium,15,8,Medium,94620,4.0,51.7,12.9,35.4,No,84.4,8.1,Low,102.8,47.0,57.5,38.2,34.2,66.2,51.5,Partial,34.6,Yes,Yes,Yes,No,Partial,3,"Kirtankhola, Bishkhali, Meghna",Mongla,4.82,24.2,35.2,40.6,38.2,43.5,66.6,Biomass/Wood,2.2,94.0,11.9,0.6,0.0,Bengali,Bengali (Standard),50.0,46.7,Low,2,3,20.8,22,Partial,43
Barisal,Barisal,Wazirpur,200.53,198000,987,17,"Agriculture, Trade",68.9,86,24,4,12,78.2,2,4,9,81,125,84.8,293,45,469.6,64.9,32.6,74.5,6,12,58.1,45.9,Yes,Some,Some,Yes,Some,No,50.8,61.5,65.6,Medium,Yes,0,10.8,Very High,Very High,Low,High,Very High,UDMCs,13,9,0,,Constituency 16,1,2,34.7,0.607,Medium,12,11,Medium,101466,4.8,43.2,18.7,38.1,No,70.5,9.6,Low,98.5,35.3,62.3,36.8,32.8,63.2,51.8,Partial,42.9,No,Yes,Yes,No,Yes,2,"Kirtankhola, Bishkhali, Meghna",Mongla,3.85,29.2,24.7,46.1,34.5,44.5,84.9,Biomass/Wood,2.4,89.9,10.3,0.2,0.0,Bengali,Bengali (Standard),42.2,65.7,Low,2,4,25.6,29,Partial,47
Barisal,Bhola,Bhola Sadar,648.78,375000,578,30,"Trade, Agriculture",71.4,171,51,7,27,74.9,4,7,17,107,206,82.5,285,36,617.3,62.0,26.9,86.9,10,27,63.8,58.4,Yes,Some,Some,Yes,Some,No,44.3,70.2,68.8,Medium,Yes,2,6.8,Very High,Very High,Low,High,Very High,UDMCs,17,28,1,14.0,Constituency 17,4,4,23.0,0.579,Medium,28,19,Medium,189409,6.1,44.6,24.2,31.2,Some,74.6,7.6,Medium,100.5,34.2,64.8,37.7,32.0,79.6,52.8,Partial,41.0,No,Yes,Yes,No,Yes,9,"Kirtankhola, Bishkhali, Meghna",Mongla,4.85,19.7,47.0,33.3,33.6,46.1,77.9,LPG/Biomass,2.1,87.8,11.2,0.3,0.6,Bengali,Bengali (Standard),40.3,59.6,Low,5,10,38.7,92,Partial,61
Barisal,Bhola,Burhanuddin,302.15,220000,728,18,Agriculture,62.6,81,28,4,14,68.2,2,4,12,77,149,74.0,271,38,714.3,52.7,37.4,81.4,6,16,68.0,37.4,Yes,Some,Some,Yes,Some,No,64.1,75.0,57.6,Medium,Yes,1,6.5,Very High,Very High,Low,High,Very High,UDMCs,12,10,0,,Constituency 18,2,3,30.4,0.584,Low,19,10,Medium,112745,5.4,39.7,19.8,40.5,No,75.7,7.0,Low,104.9,35.4,54.3,35.7,29.6,80.7,51.7,Partial,28.5,No,Yes,Yes,No,Partial,5,"Kirtankhola, Bishkhali, Meghna",Mongla,4.15,22.5,32.3,45.2,38.3,50.8,81.1,Biomass/Wood,2.1,90.6,13.1,0.0,0.0,Bengali,Bengali (Standard),30.5,69.0,Low,2,2,30.5,38,Partial,65
Barisal,Bhola,Char Fasson,1115.66,465000,417,14,"Fishing, Agriculture",54.6,206,53,11,27,77.0,6,8,23,189,306,85.3,318,49,1438.7,66.3,27.8,74.9,17,32,60.9,38.2,Yes,Some,Some,Yes,Yes,No,58.4,74.8,73.4,Medium,Yes,1,12.0,Very High,Very High,Low,High,Very High,UDMCs,30,45,0,,Constituency 19,7,5,31.8,0.559,Medium,26,15,Medium,232264,4.3,45.6,11.9,42.5,No,71.8,6.9,Medium,102.1,43.8,58.7,34.1,38.4,75.5,54.4,No,43.9,No,Yes,Yes,No,Partial,18,"Kirtankhola, Bishkhali, Meghna",Mongla,4.64,28.2,34.9,36.9,25.4,42.7,69.8,Biomass/Wood,2.1,91.3,11.9,1.0,0.0,Bengali,Bengali (Standard),32.1,67.9,Low,6,0,15.7,49,Limited,129
Barisal,Bhola,Daulatkhan,221.32,168000,759,16,"Agriculture, Fishing",71.3,63,21,4,9,68.3,2,3,8,69,125,77.4,284,59,283.5,57.8,25.5,72.8,5,10,51.8,23.7,Yes,Some,Some,Yes,Yes,No,65.3,56.7,58.8,Low,Yes,0,12.9,Very High,Very High,Low,High,Very High,UDMCs,4,8,0,,Constituency 20,1,2,20.3,0.541,Low,14,9,Medium,81716,3.2,56.4,11.4,32.2,No,83.7,7.9,Medium,105.2,37.6,55.2,36.5,32.3,74.4,48.3,Partial,41.6,No,Yes,Yes,No,Yes,4,"Kirtankhola, Bishkhali, Meghna",Mongla,4.73,24.1,35.5,40.4,39.5,44.5,83.4,Biomass/Wood,3.1,86.5,7.4,0.7,5.3,Bengali,Bengali (Standard),47.4,52.6,Low,2,2,21.3,20,Partial,39
Barisal,Bhola,Lalmohan,399.75,280000,700,17,Agriculture,64.9,121,35,5,17,67.5,3,4,14,75,222,90.3,309,45,936.4,62.8,25.2,80.9,9,15,53.4,38.5,Yes,Some,Some,Yes,Some,No,47.8,61.5,52.6,Medium,Yes,1,5.5,Very High,Very High,Low,High,Very High,UDMCs,18,18,1,11.0,Constituency 21,2,3,26.2,0.584,Medium,12,11,Medium,132047,4.6,44.2,11.3,44.5,No,71.8,7.7,Medium,105.8,37.9,47.9,34.1,37.7,71.3,50.7,Partial,44.1,Yes,Yes,Yes,No,Yes,6,"Kirtankhola, Bishkhali, Meghna",Mongla,3.75,9.0,37.7,53.3,31.1,45.8,68.2,Biomass/Wood,2.2,88.7,10.7,0.1,0.4,Bengali,Bengali (Standard),45.4,64.3,Low,4,3,24.4,12,Partial,78
Barisal,Bhola,Manpura,373.06,98000,263,10,"Fishing, Agriculture",72.6,43,13,2,5,74.4,1,2,4,42,68,79.2,288,23,503.5,55.3,18.6,72.2,3,5,63.1,19.5,Yes,Some,Some,Yes,Yes,No,53.7,63.7,74.6,Low,Yes,0,8.1,Very High,Very High,Low,High,Very High,UDMCs,3,15,1,11.0,Constituency 22,2,1,26.6,0.626,Low,6,5,Medium,46440,5.7,46.3,11.5,42.2,No,79.9,9.1,Low,97.1,44.2,55.0,45.1,32.9,67.9,51.9,No,25.9,No,Yes,Yes,No,Partial,7,"Kirtankhola, Bishkhali, Meghna",Mongla,4.05,17.0,28.4,54.6,34.3,55.4,77.9,Biomass/Wood,2.3,89.3,7.7,0.4,2.5,Bengali,Bengali (Standard),28.1,55.8,Low,1,0,22.6,2,Limited,28
Barisal,Bhola,Tazumuddin,216.94,148000,682,13,"Agriculture, Fishing",70.9,51,18,3,10,64.9,1,3,8,36,94,77.5,310,23,195.2,50.4,28.6,77.8,5,11,61.4,31.9,Yes,Some,Some,Yes,Yes,No,62.1,71.2,57.9,Low,Yes,0,10.1,Very High,Very High,Low,High,Very High,UDMCs,8,9,1,13.0,Constituency 23,1,2,28.9,0.569,Low,7,6,Medium,70838,4.1,40.4,18.9,40.7,No,85.7,9.2,Low,96.0,44.3,53.9,34.1,32.0,71.3,46.5,No,22.5,No,Yes,Yes,No,Yes,3,"Kirtankhola, Bishkhali, Meghna",Mongla,4.39,11.9,31.7,56.4,35.0,58.2,82.4,Biomass/Wood,2.2,86.9,9.6,1.0,2.4,Bengali,Bengali (Standard),37.0,75.5,Low,1,0,20.2,16,Limited,41
Barisal,Jhalokati,Jhalokati Sadar,309.44,205000,662,28,"Trade, Agriculture",66.4,81,26,4,15,72.2,2,4,10,73,137,84.9,273,67,756.4,56.7,31.3,81.3,7,12,58.9,63.3,Yes,Some,Some,Yes,Some,No,49.5,59.8,80.3,Medium,Yes,0,10.7,Very High,Very High,Low,High,Very High,UDMCs,10,13,1,12.0,Constituency 24,2,3,36.9,0.632,Medium,15,7,Low,103507,4.9,35.7,13.0,51.3,Some,74.5,7.2,Medium,104.6,37.0,64.7,39.7,44.2,62.3,52.0,Partial,23.2,Yes,Yes,Yes,No,Yes,5,"Kirtankhola, Bishkhali, Meghna",Mongla,3.68,24.6,32.8,42.6,30.6,54.5,72.6,LPG/Biomass,3.3,92.1,10.2,0.5,0.0,Bengali,Bengali (Standard),38.4,58.6,Low,2,2,24.8,26,Partial,45
Barisal,Jhalokati,Kathalia,220.67,138000,625,13,Agriculture,61.5,55,18,3,8,74.9,1,2,7,53,108,86.8,318,34,315.7,60.8,41.5,73.3,4,8,53.8,39.7,Yes,Some,Some,Yes,Some,No,69.8,70.3,65.0,Medium,Yes,0,13.2,Very High,Very High,Low,High,Very High,UDMCs,9,10,0,,Constituency 25,1,2,31.9,0.61,Low,9,6,Medium,69847,5.1,50.3,17.9,31.8,No,80.7,8.6,Medium,105.4,39.2,60.1,25.8,31.0,75.4,49.6,No,34.2,No,Yes,Yes,No,Yes,3,"Kirtankhola, Bishkhali, Meghna",Mongla,3.87,22.3,29.9,47.8,31.6,47.6,76.6,Biomass/Wood,3.9,91.3,7.3,0.4,0.9,Bengali,Bengali (Standard),47.0,70.5,Low,2,0,16.8,4,Limited,23
Barisal,Jhalokati,Nalchity,192.13,128000,666,14,Agriculture,69.9,50,16,2,7,73.2,1,2,6,40,81,78.2,297,39,457.6,62.2,29.0,72.3,3,7,63.8,53.7,Yes,Some,Some,Yes,Some,No,60.3,65.3,65.4,Medium,Yes,0,9.3,Very High,Very High,Low,High,Very High,UDMCs,7,9,1,10.0,Constituency 26,1,2,33.5,0.593,Medium,6,5,Medium,62081,4.0,54.3,21.2,24.5,No,75.8,9.7,Medium,102.0,42.6,57.2,37.6,33.3,69.0,53.8,No,20.5,Yes,Yes,Yes,No,Yes,2,"Kirtankhola, Bishkhali, Meghna",Mongla,4.16,22.6,38.1,39.3,31.2,49.8,70.6,Biomass/Wood,2.2,89.2,7.9,0.3,2.5,Bengali,Bengali (Standard),31.3,40.3,Low,1,0,23.2,9,Limited,26
Barisal,Jhalokati,Rajapur,214.25,148000,691,15,"Agriculture, Trade",61.4,54,16,3,10,79.2,1,2,7,38,102,80.7,275,21,218.0,67.0,43.0,68.2,5,11,73.7,71.7,Yes,Some,Some,Yes,Some,No,47.5,78.5,65.5,Medium,Yes,0,12.6,Very High,Very High,Low,High,Very High,UDMCs,6,8,0,,Constituency 27,1,2,31.1,0.566,Low,5,6,Medium,76887,5.3,42.4,17.9,39.7,No,82.7,10.3,Low,103.0,40.6,61.1,30.0,34.2,77.5,51.9,No,25.4,No,Yes,Yes,No,Yes,3,"Kirtankhola, Bishkhali, Meghna",Mongla,4.69,19.9,31.3,48.8,36.5,47.6,74.6,Biomass/Wood,3.7,87.7,7.3,0.7,4.2,Bengali,Bengali (Standard),36.0,62.1,Low,2,0,24.1,3,Limited,35
Barisal,Patuakhali,Bauphal,573.84,295000,514,15,"Agriculture, Fishing",65.4,130,32,6,20,84.3,3,5,15,123,227,79.9,318,31,1314.5,52.5,23.7,74.6,11,18,61.0,77.1,Yes,Some,Some,Yes,Yes,No,56.2,61.1,69.5,Medium,Yes,1,9.6,Very High,Very High,Low,High,Very High,UDMCs,19,19,1,14.0,Constituency 28,3,3,24.9,0.592,Medium,19,14,Medium,143604,6.1,40.7,5.0,54.3,No,83.9,10.1,Low,97.3,47.1,62.8,15.0,34.5,67.7,49.6,No,14.7,No,Yes,Yes,No,Yes,12,"Kirtankhola, Bishkhali, Meghna",Mongla,3.81,24.8,27.2,48.0,26.5,38.0,74.2,Biomass/Wood,2.1,92.1,10.1,0.3,0.0,Bengali,Bengali (Standard),43.9,68.4,Low,3,0,25.0,38,Limited,88
