Division,District,Thana / Police Station,Thana Type,Area (km²),Population,Density (/km²),Year Estd.,OC Rank,Annual FIRs,Annual GDs,Flood Risk,Officers,Constables,Vehicles,Outposts,Detection Rate (%),Lockup,Male Pop.,Female Pop.,Urban Pop. (%),Working Age Pop.,Literacy Rate (%),Avg. HH Size,Total Roads (km),Paved Road (%),Electricity (%),Internet Users (%),Mobile Banking (%),Bank Branches,Hospitals/Clinics,Primary Schools,Weekly Markets,4G Coverage,Total Crimes (annual),Murder Cases,Robbery Cases,Theft Cases,Narcotics Cases,GBV/VAW Cases,Human Trafficking Risk,Cyclone Risk,Drought Risk,EPZ Zone,Port/Ferry Terminal,Border/Land Port,Tourist Area,River Police,Ethnic Minority Area,Poverty Rate (%),Agriculture Workers (%),Industry Workers (%),Service Workers (%),Unemployment (%),E-Commerce Activity,Remittance Dependency
Barisal,Bhola,Manpura,Coastal,373,53777,144,1940,Inspector,80,303,Very High,14,30,1,3,71.9,0,25771,26731,18,32862,65.8,4.42,530.8,43.4,47.5,24.4,50.8,1,0,15,2,Partial,135,0,2,46,1,2,High,Very High,Low,No,No,No,No,No,No,32.3,42.2,5.2,52.6,4.8,Low,Low
Barisal,Bhola,Tazumuddin,River,217,79452,366,1932,Inspector,76,437,Very High,21,48,2,2,53.5,0,37622,36393,14,47290,63.0,4.22,425.1,37.8,45.5,14.7,54.4,2,1,20,4,Limited,159,1,5,65,4,2,Medium,Very High,Low,No,No,No,No,Yes,No,26.6,44.8,16.4,38.8,5.3,Low,Low
Barisal,Bhola,Ilisha,River,160,56813,355,2005,Sub-Inspector,68,239,Very High,17,43,1,2,69.3,0,29896,30441,14,38201,62.7,4.98,99.5,57.3,57.6,18.0,50.2,1,0,20,3,Limited,118,0,1,50,3,1,Medium,Very High,Low,No,No,No,No,Yes,No,23.1,48.4,15.8,35.8,5.1,Low,Medium
Barisal,Bhola,Veduria,Coastal,180,46167,256,2010,Sub-Inspector,55,237,Very High,9,30,1,1,35.9,0,24796,22910,18,28223,61.9,4.71,263.5,35.2,53.5,33.4,64.9,1,0,12,1,Partial,78,1,4,35,4,1,High,Very High,Low,No,No,No,No,No,No,20.0,50.1,15.7,34.2,5.1,Low,Low
Barisal,Bhola,Char Khalifa,Coastal,200,44841,224,2018,Sub-Inspector,66,245,Very High,9,32,1,2,75.3,0,25730,26694,18,32145,63.6,5.04,337.1,39.6,61.0,28.2,62.1,1,0,15,3,Partial,115,1,1,43,3,1,High,Very High,Low,No,No,No,No,No,No,27.4,57.0,18.7,24.3,4.8,Low,Low
Barisal,Bhola,Nothullabad,Rural,120,36225,302,2015,Sub-Inspector,50,200,Very High,8,21,1,1,63.7,0,18046,16882,12,20498,70.5,4.84,262.7,47.9,50.8,9.2,64.4,0,0,9,1,Limited,74,1,3,29,2,1,Medium,Very High,Low,No,No,No,No,No,No,28.1,39.4,17.8,42.8,5.6,Low,Medium
Barisal,Jhalokati,Jhalokati Sadar,Sadar,180,117416,652,1888,Inspector,172,574,Very High,26,83,2,2,58.4,1,54819,52159,45,68858,67.9,4.97,191.2,43.4,65.4,42.3,66.3,3,1,36,5,Full,338,4,7,147,4,5,Low,Very High,Low,No,No,No,No,No,No,21.2,40.7,25.6,33.7,4.1,Medium,Low
Barisal,Jhalokati,Kathalia,Rural,221,77937,353,1930,Inspector,101,458,Very High,14,57,1,2,48.5,0,36268,33567,12,45528,58.0,4.27,182.6,45.2,61.1,23.6,75.4,2,0,21,4,Limited,172,0,7,68,3,1,Low,Very High,Low,No,No,No,No,No,No,28.0,55.4,7.0,37.6,5.4,Low,Low
Barisal,Jhalokati,Nalchity,Rural,192,62078,323,1932,Inspector,79,325,Very High,14,52,2,2,56.6,0,31638,30540,12,40304,61.8,4.87,176.9,30.4,64.1,17.0,46.3,1,0,21,3,Limited,96,0,2,29,3,3,Medium,Very High,Low,No,No,No,No,No,No,37.6,56.1,19.3,24.6,3.7,Low,Low
Barisal,Jhalokati,Rajapur,Rural,214,70969,332,1928,Inspector,91,417,Very High,14,46,2,1,48.2,0,39660,40422,12,49967,64.4,4.54,214.3,46.1,51.7,20.9,51.8,1,1,26,5,Limited,131,1,4,60,3,4,Medium,Very High,Low,No,No,No,No,No,No,25.6,55.9,16.2,27.9,5.9,Low,Medium
Barisal,Jhalokati,Gabkhan,River,88,40213,457,2005,Sub-Inspector,58,211,Very High,9,30,1,0,38.4,0,21253,21348,14,27615,70.1,4.98,137.7,34.0,52.8,30.4,49.2,1,0,10,2,Limited,85,1,2,25,2,1,Low,Very High,Low,No,No,No,No,Yes,No,28.1,38.9,12.4,48.7,4.4,Low,Medium
Barisal,Jhalokati,Shashibhushan,Rural,110,45556,414,2010,Sub-Inspector,79,205,Very High,9,27,1,1,52.1,0,22510,22749,12,26353,60.3,3.94,197.8,28.7,64.1,19.5,50.5,0,0,11,2,Limited,96,0,3,29,2,1,Low,Very High,Low,No,No,No,No,No,No,33.3,42.1,18.8,39.1,4.0,Low,Medium
Barisal,Jhalokati,Bisher,Rural,95,32681,344,2012,Sub-Inspector,50,200,Very High,8,23,1,0,73.7,0,16494,17107,12,22040,62.2,4.27,152.0,40.6,50.0,31.2,69.5,1,0,10,2,Limited,59,1,1,25,1,0,Low,Very High,Low,No,No,No,No,No,No,34.3,44.3,14.1,41.6,3.5,Low,Medium
Barisal,Jhalokati,Nathullabad,River,125,28123,225,2015,Sub-Inspector,50,200,Very High,8,22,1,1,48.2,0,15955,15446,14,19054,63.7,4.47,99.0,36.1,49.2,25.8,58.8,1,0,7,1,Limited,55,1,2,25,1,1,Low,Very High,Low,No,No,No,No,Yes,No,23.3,60.1,21.1,18.8,4.5,Low,Low
Barisal,Patuakhali,Patuakhali Sadar,Sadar,245,154628,631,1882,Inspector,184,746,Very High,27,95,3,2,66.1,1,83319,79883,45,104774,73.4,4.91,454.4,66.0,71.0,31.6,50.2,3,1,41,8,Full,315,4,9,134,7,7,Medium,Very High,Low,No,No,No,No,No,No,22.9,35.8,23.2,41.0,5.3,Medium,Low
Barisal,Patuakhali,Bauphal,Coastal,574,151269,264,1920,Inspector,187,794,Very High,38,90,5,6,50.9,0,77190,71315,18,91852,57.7,3.84,1231.1,43.5,60.8,31.5,61.0,3,1,44,8,Partial,286,4,8,131,10,3,High,Very High,Low,No,No,No,No,No,No,33.3,38.1,19.3,42.6,2.5,Low,Low
Barisal,Patuakhali,Dashmina,Coastal,318,84013,264,1932,Inspector,103,503,Very High,22,58,1,3,78.8,0,39623,40408,18,48250,67.4,3.78,432.3,29.9,57.8,39.8,46.6,2,1,20,4,Partial,164,2,6,66,3,2,High,Very High,Low,No,No,No,No,No,Yes,28.6,44.3,9.7,46.0,4.6,Low,Low
Barisal,Patuakhali,Dumki,Rural,115,56414,491,1960,Inspector,89,333,Very High,9,38,1,1,52.1,0,28165,26557,12,34495,62.4,4.05,142.9,33.2,55.3,18.7,63.6,1,0,13,2,Limited,103,1,4,42,4,1,Low,Very High,Low,No,No,No,No,No,No,35.5,48.6,10.7,40.7,5.2,Low,Low
Barisal,Patuakhali,Galachipa,Coastal,580,170581,294,1918,Inspector,159,985,Very High,43,92,5,6,69.0,0,81544,82206,18,107272,59.5,4.89,359.1,48.4,55.0,12.9,76.1,4,1,42,8,Partial,335,6,4,158,8,6,High,Very High,Low,No,No,No,No,No,No,32.3,50.7,21.9,27.4,4.8,Low,Medium
Barisal,Patuakhali,Kalapara,Coastal,580,158655,274,1920,Inspector,239,753,Very High,29,106,3,4,64.0,0,74744,73763,18,95410,58.7,5.08,797.8,51.1,53.2,36.5,62.3,3,1,39,7,Partial,401,3,15,184,15,6,High,Very High,Low,No,No,No,No,No,No,23.7,45.8,13.2,41.0,5.7,Low,Low
Barisal,Patuakhali,Mirzaganj,River,214,74023,346,1935,Inspector,111,428,Very High,14,41,2,2,66.8,0,34679,32212,14,40530,60.9,4.33,341.1,27.3,47.7,27.3,56.8,2,0,16,3,Limited,119,2,2,49,3,3,Medium,Very High,Low,No,No,No,No,Yes,Yes,32.5,55.5,18.3,26.2,3.7,Low,Low
Barisal,Patuakhali,Rangabali,Coastal,482,45146,94,1970,Inspector,50,227,Very High,15,39,2,6,80.6,0,24871,25321,18,32275,66.3,4.06,789.6,53.2,57.3,20.0,45.2,1,0,16,2,Partial,125,0,3,39,4,1,High,Very High,Low,No,No,No,No,No,No,22.4,40.2,19.2,40.6,5.0,Low,Low
Barisal,Patuakhali,Kuakata,Tourism,120,40124,334,2005,Sub-Inspector,63,200,Very High,11,31,1,1,72.3,0,17944,17860,35,22891,60.5,4.58,114.0,46.7,66.7,24.6,61.0,0,0,10,2,Partial,100,0,3,35,2,1,Low,Very High,Low,No,No,No,Yes,No,Yes,24.2,40.0,18.1,41.9,4.9,Medium,Low
Barisal,Patuakhali,Lohalia,River,150,40551,270,2008,Sub-Inspector,54,200,Very High,9,31,1,1,50.8,0,20518,19345,14,25343,63.1,4.46,261.0,39.9,66.8,21.8,66.7,0,0,13,2,Limited,77,1,2,29,2,1,Medium,Very High,Low,No,No,No,No,Yes,No,21.5,46.4,12.9,40.7,4.2,Low,Medium
Barisal,Patuakhali,Madarbunia,Coastal,180,42022,233,2010,Sub-Inspector,50,200,Very High,10,26,1,2,45.1,0,18775,18895,18,22280,67.2,4.58,217.6,49.2,52.9,23.6,60.7,1,0,10,2,Partial,71,0,1,29,1,1,High,Very High,Low,No,No,No,No,No,No,39.1,47.0,18.0,35.0,4.2,Low,Low
Barisal,Patuakhali,Char Kajal,Coastal,210,29632,141,2012,Sub-Inspector,50,200,Very High,8,16,1,1,64.2,0,15934,16377,18,19961,62.4,4.42,140.3,43.8,50.5,28.2,61.0,0,0,10,1,Partial,56,0,2,27,3,0,High,Very High,Low,No,No,No,No,No,No,24.2,43.7,22.4,33.9,5.0,Low,Low
Barisal,Patuakhali,Baufal North,Rural,140,45400,324,2015,Sub-Inspector,74,200,Very High,8,35,1,0,68.0,0,23185,23477,12,27446,67.2,4.43,112.1,43.1,53.2,17.0,61.1,1,0,16,3,Limited,68,0,1,24,2,1,Low,Very High,Low,No,No,No,No,No,No,41.4,44.6,12.0,43.4,5.3,Low,Medium
Barisal,Patuakhali,Kalaiya,River,95,34827,367,2018,Sub-Inspector,50,200,Very High,8,19,1,1,91.7,0,15979,15119,14,18169,67.5,4.57,65.3,36.1,59.8,12.9,70.9,1,0,9,2,Limited,65,0,3,23,2,1,Low,Very High,Low,No,No,No,No,Yes,No,33.0,50.7,20.3,29.0,4.4,Low,Low
Barisal,Pirojpur,Pirojpur Sadar,Sadar,200,142280,711,1885,Inspector,143,574,Very High,34,93,4,2,43.0,1,71952,71651,45,86637,65.4,3.89,353.3,55.9,71.2,50.8,58.9,5,2,40,10,Full,401,3,4,162,7,8,Medium,Very High,Low,No,No,No,No,No,No,21.4,37.9,26.9,35.2,4.1,Medium,Medium
Barisal,Pirojpur,Bhandaria,River,213,76409,359,1928,Inspector,112,364,Very High,19,49,2,1,69.7,0,39689,37706,14,45437,64.5,4.11,283.8,25.4,37.6,13.5,65.9,2,0,25,3,Limited,150,2,2,48,2,2,Medium,Very High,Low,No,No,No,No,Yes,No,33.1,47.8,13.0,39.2,5.1,Low,Medium
Barisal,Pirojpur,Kawkhali,River,176,65271,371,1935,Inspector,65,276,Very High,13,37,1,2,57.8,0,34098,31789,14,41245,61.6,3.92,381.2,33.1,55.7,27.2,63.3,2,0,21,4,Limited,141,2,4,65,5,1,Low,Very High,Low,No,No,No,No,Yes,Yes,27.3,41.4,17.5,41.1,5.2,Low,Low
Barisal,Pirojpur,Mathbaria,Coastal,406,124839,307,1920,Inspector,175,598,Very High,23,72,2,3,49.9,0,69693,64537,18,79418,58.7,4.55,511.3,48.4,58.9,8.0,49.9,2,1,38,6,Partial,223,3,4,79,8,4,High,Very High,Low,No,No,No,No,No,Yes,39.3,53.4,20.5,26.1,4.2,Low,Low
Barisal,Pirojpur,Nazirpur,Rural,280,109632,392,1930,Inspector,126,564,Very High,22,75,3,3,66.3,0,48894,47615,12,61103,64.3,4.08,186.8,49.8,50.2,22.1,69.8,2,1,33,4,Limited,239,2,9,104,10,3,Low,Very High,Low,No,No,No,No,No,No,28.6,49.1,12.2,38.7,5.5,Low,Low
Barisal,Pirojpur,Nesarabad,Rural,265,104670,395,1932,Inspector,138,574,Very High,24,57,3,2,38.5,0,47600,47645,12,57460,68.0,4.4,280.0,39.2,57.6,26.1,54.6,2,1,25,4,Limited,181,1,7,79,4,3,Low,Very High,Low,No,No,No,No,No,No,18.4,57.0,11.1,31.9,5.3,Low,Medium
Barisal,Pirojpur,Zianagar,Rural,184,68129,370,1940,Inspector,75,302,Very High,15,56,2,2,54.0,0,31742,32019,12,40859,60.9,4.18,112.6,46.3,57.4,28.4,54.7,2,0,20,3,Limited,101,2,3,32,6,2,Low,Very High,Low,No,No,No,No,No,No,38.0,48.2,16.6,35.2,4.8,Low,Low
Barisal,Pirojpur,Hularhat,River,65,43589,671,2000,Sub-Inspector,50,231,Very High,8,24,1,0,75.5,0,21125,21754,14,25699,58.7,4.76,43.4,42.5,52.8,29.8,56.2,0,0,11,2,Limited,74,1,2,28,3,0,Low,Very High,Low,No,No,No,No,Yes,No,33.1,42.9,14.7,42.4,3.1,Low,Low
Barisal,Pirojpur,Indurkani,Rural,110,47356,431,2008,Sub-Inspector,81,250,Very High,12,35,1,0,74.3,0,20701,19667,12,24206,63.8,4.82,95.0,40.1,59.1,25.2,66.1,1,0,11,2,Limited,99,0,2,32,4,2,Low,Very High,Low,No,No,No,No,No,No,27.2,62.7,13.8,23.5,6.7,Low,Low
Barisal,Pirojpur,Swarupkathi,River,95,33000,347,2010,Sub-Inspector,50,200,Very High,8,21,1,0,61.8,0,17601,17501,14,21528,68.3,4.98,106.8,41.9,59.8,27.0,58.8,0,0,9,1,Limited,75,1,3,27,2,0,Low,Very High,Low,No,No,No,No,Yes,No,27.4,49.9,22.5,27.6,6.4,Low,Low
Barisal,Pirojpur,Tutkhali,Rural,120,28131,234,2015,Sub-Inspector,50,200,Very High,8,20,1,1,65.8,0,13706,14084,12,16617,71.2,4.57,89.0,33.6,50.6,23.4,54.8,0,0,8,1,Limited,50,0,2,18,2,0,Low,Very High,Low,No,No,No,No,No,No,20.4,47.2,11.3,41.5,6.3,Low,Medium
Barisal,Pirojpur,Shalikha Pir,Rural,140,36670,262,2018,Sub-Inspector,57,200,Very High,9,27,1,1,57.6,0,19013,18355,12,23721,64.7,3.91,178.6,45.8,58.4,27.2,53.2,0,0,11,2,Limited,69,0,2,28,2,1,Low,Very High,Low,No,No,No,No,No,No,30.7,53.2,23.2,23.6,4.4,Low,Low
Barisal,Pirojpur,Mathbaria North,Coastal,185,56745,307,2016,Sub-Inspector,72,285,Very High,10,32,1,1,58.5,0,29510,29616,18,36540,61.2,4.43,133.7,41.1,51.8,48.7,58.1,1,0,14,3,Partial,107,2,2,32,4,1,High,Very High,Low,No,No,No,No,No,No,22.8,45.1,19.1,35.8,4.2,Low,Medium
Chittagong,Chittagong,Kotwali Ctg,Metropolitan,8,279446,34931,1857,Additional SP,278,1233,High,75,212,7,0,79.3,1,154453,152027,90,189646,84.6,3.88,15.8,92.5,84.9,61.5,84.8,8,3,92,14,Full,1411,10,23,441,23,10,Medium,High,Low,No,No,No,No,No,No,8.7,10.0,35.9,54.1,4.6,High,Low
